Frame Count,Start Time
219,2024-01-25 08:35:36.661
220,2024-01-25 08:35:36.673
221,2024-01-25 08:35:36.687
222,2024-01-25 08:35:36.701
223,2024-01-25 08:35:36.714
224,2024-01-25 08:35:36.730
225,2024-01-25 08:35:36.747
226,2024-01-25 08:35:36.764
227,2024-01-25 08:35:36.780
228,2024-01-25 08:35:36.793
229,2024-01-25 08:35:36.809
230,2024-01-25 08:35:36.826
231,2024-01-25 08:35:36.842
232,2024-01-25 08:35:36.856
233,2024-01-25 08:35:36.872
234,2024-01-25 08:35:36.886
235,2024-01-25 08:35:36.902
236,2024-01-25 08:35:36.915
237,2024-01-25 08:35:36.928
238,2024-01-25 08:35:36.949
239,2024-01-25 08:35:36.967
240,2024-01-25 08:35:36.990
241,2024-01-25 08:35:37.008
242,2024-01-25 08:35:37.023
243,2024-01-25 08:35:37.039
244,2024-01-25 08:35:37.059
245,2024-01-25 08:35:37.073
246,2024-01-25 08:35:37.091
247,2024-01-25 08:35:37.104
248,2024-01-25 08:35:37.124
249,2024-01-25 08:35:37.134
250,2024-01-25 08:35:37.155
251,2024-01-25 08:35:37.173
252,2024-01-25 08:35:37.189
253,2024-01-25 08:35:37.201
254,2024-01-25 08:35:37.221
255,2024-01-25 08:35:37.233
256,2024-01-25 08:35:37.253
257,2024-01-25 08:35:37.275
258,2024-01-25 08:35:37.291
259,2024-01-25 08:35:37.305
260,2024-01-25 08:35:37.323
261,2024-01-25 08:35:37.335
262,2024-01-25 08:35:37.351
263,2024-01-25 08:35:37.367
264,2024-01-25 08:35:37.383
265,2024-01-25 08:35:37.399
266,2024-01-25 08:35:37.415
267,2024-01-25 08:35:37.430
268,2024-01-25 08:35:37.449
269,2024-01-25 08:35:37.470
270,2024-01-25 08:35:37.489
271,2024-01-25 08:35:37.500
272,2024-01-25 08:35:37.530
273,2024-01-25 08:35:37.554
274,2024-01-25 08:35:37.576
275,2024-01-25 08:35:37.599
276,2024-01-25 08:35:37.622
277,2024-01-25 08:35:37.642
278,2024-01-25 08:35:37.661
279,2024-01-25 08:35:37.677
280,2024-01-25 08:35:37.694
281,2024-01-25 08:35:37.713
282,2024-01-25 08:35:37.730
283,2024-01-25 08:35:37.746
284,2024-01-25 08:35:37.765
285,2024-01-25 08:35:37.786
286,2024-01-25 08:35:37.806
287,2024-01-25 08:35:37.825
288,2024-01-25 08:35:37.856
289,2024-01-25 08:35:37.870
290,2024-01-25 08:35:37.885
291,2024-01-25 08:35:37.900
292,2024-01-25 08:35:37.925
293,2024-01-25 08:35:37.937
294,2024-01-25 08:35:37.959
295,2024-01-25 08:35:37.974
296,2024-01-25 08:35:37.992
297,2024-01-25 08:35:38.003
298,2024-01-25 08:35:38.017
299,2024-01-25 08:35:38.033
300,2024-01-25 08:35:38.049
301,2024-01-25 08:35:38.071
302,2024-01-25 08:35:38.092
303,2024-01-25 08:35:38.111
304,2024-01-25 08:35:38.129
305,2024-01-25 08:35:38.141
306,2024-01-25 08:35:38.168
307,2024-01-25 08:35:38.181
308,2024-01-25 08:35:38.199
309,2024-01-25 08:35:38.212
310,2024-01-25 08:35:38.227
311,2024-01-25 08:35:38.243
312,2024-01-25 08:35:38.267
313,2024-01-25 08:35:38.285
314,2024-01-25 08:35:38.300
315,2024-01-25 08:35:38.324
316,2024-01-25 08:35:38.337
317,2024-01-25 08:35:38.354
318,2024-01-25 08:35:38.375
319,2024-01-25 08:35:38.392
320,2024-01-25 08:35:38.411
321,2024-01-25 08:35:38.429
322,2024-01-25 08:35:38.442
323,2024-01-25 08:35:38.454
324,2024-01-25 08:35:38.469
325,2024-01-25 08:35:38.481
326,2024-01-25 08:35:38.498
327,2024-01-25 08:35:38.513
328,2024-01-25 08:35:38.529
329,2024-01-25 08:35:38.540
330,2024-01-25 08:35:38.558
331,2024-01-25 08:35:38.572
332,2024-01-25 08:35:38.593
333,2024-01-25 08:35:38.608
334,2024-01-25 08:35:38.632
335,2024-01-25 08:35:38.648
336,2024-01-25 08:35:38.663
337,2024-01-25 08:35:38.678
338,2024-01-25 08:35:38.694
339,2024-01-25 08:35:38.708
340,2024-01-25 08:35:38.723
341,2024-01-25 08:35:38.739
342,2024-01-25 08:35:38.752
343,2024-01-25 08:35:38.768
344,2024-01-25 08:35:38.780
345,2024-01-25 08:35:38.799
346,2024-01-25 08:35:38.812
347,2024-01-25 08:35:38.834
348,2024-01-25 08:35:38.854
349,2024-01-25 08:35:38.879
350,2024-01-25 08:35:38.896
351,2024-01-25 08:35:38.914
352,2024-01-25 08:35:38.933
353,2024-01-25 08:35:38.952
354,2024-01-25 08:35:38.975
355,2024-01-25 08:35:38.993
356,2024-01-25 08:35:39.007
357,2024-01-25 08:35:39.024
358,2024-01-25 08:35:39.039
359,2024-01-25 08:35:39.053
360,2024-01-25 08:35:39.067
361,2024-01-25 08:35:39.083
362,2024-01-25 08:35:39.099
363,2024-01-25 08:35:39.114
364,2024-01-25 08:35:39.124
365,2024-01-25 08:35:39.144
366,2024-01-25 08:35:39.163
367,2024-01-25 08:35:39.185
368,2024-01-25 08:35:39.201
369,2024-01-25 08:35:39.220
370,2024-01-25 08:35:39.236
371,2024-01-25 08:35:39.249
372,2024-01-25 08:35:39.272
373,2024-01-25 08:35:39.291
374,2024-01-25 08:35:39.308
375,2024-01-25 08:35:39.325
376,2024-01-25 08:35:39.344
377,2024-01-25 08:35:39.359
378,2024-01-25 08:35:39.374
379,2024-01-25 08:35:39.390
380,2024-01-25 08:35:39.407
381,2024-01-25 08:35:39.425
382,2024-01-25 08:35:39.440
383,2024-01-25 08:35:39.453
384,2024-01-25 08:35:39.472
385,2024-01-25 08:35:39.487
386,2024-01-25 08:35:39.502
387,2024-01-25 08:35:39.525
388,2024-01-25 08:35:39.538
389,2024-01-25 08:35:39.556
390,2024-01-25 08:35:39.570
391,2024-01-25 08:35:39.585
392,2024-01-25 08:35:39.602
393,2024-01-25 08:35:39.622
394,2024-01-25 08:35:39.636
395,2024-01-25 08:35:39.656
396,2024-01-25 08:35:39.672
397,2024-01-25 08:35:39.691
398,2024-01-25 08:35:39.708
399,2024-01-25 08:35:39.720
400,2024-01-25 08:35:39.734
401,2024-01-25 08:35:39.748
402,2024-01-25 08:35:39.763
403,2024-01-25 08:35:39.779
404,2024-01-25 08:35:39.790
405,2024-01-25 08:35:39.807
406,2024-01-25 08:35:39.829
407,2024-01-25 08:35:39.853
408,2024-01-25 08:35:39.868
409,2024-01-25 08:35:39.885
410,2024-01-25 08:35:39.902
411,2024-01-25 08:35:39.921
412,2024-01-25 08:35:39.938
413,2024-01-25 08:35:39.958
414,2024-01-25 08:35:39.979
415,2024-01-25 08:35:39.999
416,2024-01-25 08:35:40.012
417,2024-01-25 08:35:40.033
418,2024-01-25 08:35:40.046
419,2024-01-25 08:35:40.059
420,2024-01-25 08:35:40.073
421,2024-01-25 08:35:40.092
422,2024-01-25 08:35:40.106
423,2024-01-25 08:35:40.122
424,2024-01-25 08:35:40.136
425,2024-01-25 08:35:40.152
426,2024-01-25 08:35:40.167
427,2024-01-25 08:35:40.187
428,2024-01-25 08:35:40.203
429,2024-01-25 08:35:40.221
430,2024-01-25 08:35:40.235
431,2024-01-25 08:35:40.248
432,2024-01-25 08:35:40.263
433,2024-01-25 08:35:40.279
434,2024-01-25 08:35:40.295
435,2024-01-25 08:35:40.310
436,2024-01-25 08:35:40.325
437,2024-01-25 08:35:40.344
438,2024-01-25 08:35:40.358
439,2024-01-25 08:35:40.375
440,2024-01-25 08:35:40.389
441,2024-01-25 08:35:40.405
442,2024-01-25 08:35:40.421
443,2024-01-25 08:35:40.436
444,2024-01-25 08:35:40.454
445,2024-01-25 08:35:40.478
446,2024-01-25 08:35:40.494
447,2024-01-25 08:35:40.513
448,2024-01-25 08:35:40.530
449,2024-01-25 08:35:40.552
450,2024-01-25 08:35:40.569
451,2024-01-25 08:35:40.582
452,2024-01-25 08:35:40.597
453,2024-01-25 08:35:40.613
454,2024-01-25 08:35:40.629
455,2024-01-25 08:35:40.644
456,2024-01-25 08:35:40.659
457,2024-01-25 08:35:40.679
458,2024-01-25 08:35:40.693
459,2024-01-25 08:35:40.712
460,2024-01-25 08:35:40.736
461,2024-01-25 08:35:40.755
462,2024-01-25 08:35:40.768
463,2024-01-25 08:35:40.786
464,2024-01-25 08:35:40.800
465,2024-01-25 08:35:40.819
466,2024-01-25 08:35:40.832
467,2024-01-25 08:35:40.851
468,2024-01-25 08:35:40.866
469,2024-01-25 08:35:40.883
470,2024-01-25 08:35:40.900
471,2024-01-25 08:35:40.915
472,2024-01-25 08:35:40.929
473,2024-01-25 08:35:40.945
474,2024-01-25 08:35:40.960
475,2024-01-25 08:35:40.979
476,2024-01-25 08:35:40.997
477,2024-01-25 08:35:41.017
478,2024-01-25 08:35:41.038
479,2024-01-25 08:35:41.052
480,2024-01-25 08:35:41.069
481,2024-01-25 08:35:41.084
482,2024-01-25 08:35:41.096
483,2024-01-25 08:35:41.109
484,2024-01-25 08:35:41.123
485,2024-01-25 08:35:41.134
486,2024-01-25 08:35:41.151
487,2024-01-25 08:35:41.166
488,2024-01-25 08:35:41.182
489,2024-01-25 08:35:41.197
490,2024-01-25 08:35:41.211
491,2024-01-25 08:35:41.226
492,2024-01-25 08:35:41.242
493,2024-01-25 08:35:41.270
494,2024-01-25 08:35:41.296
495,2024-01-25 08:35:41.331
496,2024-01-25 08:35:41.360
497,2024-01-25 08:35:41.381
498,2024-01-25 08:35:41.402
499,2024-01-25 08:35:41.417
500,2024-01-25 08:35:41.430
501,2024-01-25 08:35:41.442
502,2024-01-25 08:35:41.457
503,2024-01-25 08:35:41.472
504,2024-01-25 08:35:41.487
505,2024-01-25 08:35:41.508
506,2024-01-25 08:35:41.530
507,2024-01-25 08:35:41.551
508,2024-01-25 08:35:41.566
509,2024-01-25 08:35:41.580
510,2024-01-25 08:35:41.593
511,2024-01-25 08:35:41.608
512,2024-01-25 08:35:41.626
513,2024-01-25 08:35:41.638
514,2024-01-25 08:35:41.652
515,2024-01-25 08:35:41.664
516,2024-01-25 08:35:41.684
517,2024-01-25 08:35:41.701
518,2024-01-25 08:35:41.715
519,2024-01-25 08:35:41.729
520,2024-01-25 08:35:41.743
521,2024-01-25 08:35:41.760
522,2024-01-25 08:35:41.771
523,2024-01-25 08:35:41.790
524,2024-01-25 08:35:41.813
525,2024-01-25 08:35:41.836
526,2024-01-25 08:35:41.861
527,2024-01-25 08:35:41.878
528,2024-01-25 08:35:41.900
529,2024-01-25 08:35:41.917
530,2024-01-25 08:35:41.933
531,2024-01-25 08:35:41.948
532,2024-01-25 08:35:41.964
533,2024-01-25 08:35:41.979
534,2024-01-25 08:35:41.997
535,2024-01-25 08:35:42.010
536,2024-01-25 08:35:42.030
537,2024-01-25 08:35:42.044
538,2024-01-25 08:35:42.072
539,2024-01-25 08:35:42.092
540,2024-01-25 08:35:42.105
541,2024-01-25 08:35:42.121
542,2024-01-25 08:35:42.136
543,2024-01-25 08:35:42.151
544,2024-01-25 08:35:42.168
545,2024-01-25 08:35:42.184
546,2024-01-25 08:35:42.199
547,2024-01-25 08:35:42.212
548,2024-01-25 08:35:42.227
549,2024-01-25 08:35:42.240
550,2024-01-25 08:35:42.255
551,2024-01-25 08:35:42.267
552,2024-01-25 08:35:42.283
553,2024-01-25 08:35:42.298
554,2024-01-25 08:35:42.316
555,2024-01-25 08:35:42.334
556,2024-01-25 08:35:42.351
557,2024-01-25 08:35:42.368
558,2024-01-25 08:35:42.385
559,2024-01-25 08:35:42.397
560,2024-01-25 08:35:42.411
561,2024-01-25 08:35:42.428
562,2024-01-25 08:35:42.441
563,2024-01-25 08:35:42.456
564,2024-01-25 08:35:42.467
565,2024-01-25 08:35:42.478
566,2024-01-25 08:35:42.494
567,2024-01-25 08:35:42.507
568,2024-01-25 08:35:42.520
569,2024-01-25 08:35:42.539
570,2024-01-25 08:35:42.553
571,2024-01-25 08:35:42.571
572,2024-01-25 08:35:42.590
573,2024-01-25 08:35:42.607
574,2024-01-25 08:35:42.626
575,2024-01-25 08:35:42.637
576,2024-01-25 08:35:42.655
577,2024-01-25 08:35:42.670
578,2024-01-25 08:35:42.684
579,2024-01-25 08:35:42.698
580,2024-01-25 08:35:42.709
581,2024-01-25 08:35:42.724
582,2024-01-25 08:35:42.739
583,2024-01-25 08:35:42.755
584,2024-01-25 08:35:42.768
585,2024-01-25 08:35:42.782
586,2024-01-25 08:35:42.795
587,2024-01-25 08:35:42.808
588,2024-01-25 08:35:42.821
589,2024-01-25 08:35:42.840
590,2024-01-25 08:35:42.873
591,2024-01-25 08:35:42.891
592,2024-01-25 08:35:42.905
593,2024-01-25 08:35:42.923
594,2024-01-25 08:35:42.936
595,2024-01-25 08:35:42.951
596,2024-01-25 08:35:42.967
597,2024-01-25 08:35:42.982
598,2024-01-25 08:35:42.996
599,2024-01-25 08:35:43.012
600,2024-01-25 08:35:43.036
601,2024-01-25 08:35:43.052
602,2024-01-25 08:35:43.072
603,2024-01-25 08:35:43.093
604,2024-01-25 08:35:43.121
605,2024-01-25 08:35:43.152
606,2024-01-25 08:35:43.180
607,2024-01-25 08:35:43.204
608,2024-01-25 08:35:43.228
609,2024-01-25 08:35:43.251
610,2024-01-25 08:35:43.269
611,2024-01-25 08:35:43.292
612,2024-01-25 08:35:43.316
613,2024-01-25 08:35:43.337
614,2024-01-25 08:35:43.358
615,2024-01-25 08:35:43.382
616,2024-01-25 08:35:43.412
617,2024-01-25 08:35:43.436
618,2024-01-25 08:35:43.472
619,2024-01-25 08:35:43.495
620,2024-01-25 08:35:43.521
621,2024-01-25 08:35:43.550
622,2024-01-25 08:35:43.571
623,2024-01-25 08:35:43.586
624,2024-01-25 08:35:43.609
625,2024-01-25 08:35:43.628
626,2024-01-25 08:35:43.653
627,2024-01-25 08:35:43.691
628,2024-01-25 08:35:43.811
629,2024-01-25 08:35:43.979
630,2024-01-25 08:35:44.014
631,2024-01-25 08:35:44.043
632,2024-01-25 08:35:44.093
633,2024-01-25 08:35:44.116
634,2024-01-25 08:35:44.142
635,2024-01-25 08:35:44.156
636,2024-01-25 08:35:44.172
637,2024-01-25 08:35:44.190
638,2024-01-25 08:35:44.209
639,2024-01-25 08:35:44.230
640,2024-01-25 08:35:44.248
641,2024-01-25 08:35:44.270
642,2024-01-25 08:35:44.289
643,2024-01-25 08:35:44.307
644,2024-01-25 08:35:44.324
645,2024-01-25 08:35:44.339
646,2024-01-25 08:35:44.352
647,2024-01-25 08:35:44.367
648,2024-01-25 08:35:44.385
649,2024-01-25 08:35:44.404
650,2024-01-25 08:35:44.418
651,2024-01-25 08:35:44.436
652,2024-01-25 08:35:44.446
653,2024-01-25 08:35:44.463
654,2024-01-25 08:35:44.474
655,2024-01-25 08:35:44.486
656,2024-01-25 08:35:44.508
657,2024-01-25 08:35:44.524
658,2024-01-25 08:35:44.542
659,2024-01-25 08:35:44.556
660,2024-01-25 08:35:44.570
661,2024-01-25 08:35:44.586
662,2024-01-25 08:35:44.600
663,2024-01-25 08:35:44.618
664,2024-01-25 08:35:44.636
665,2024-01-25 08:35:44.652
666,2024-01-25 08:35:44.684
667,2024-01-25 08:35:44.699
668,2024-01-25 08:35:44.713
669,2024-01-25 08:35:44.726
670,2024-01-25 08:35:44.741
671,2024-01-25 08:35:44.764
672,2024-01-25 08:35:44.783
673,2024-01-25 08:35:44.829
